item,mean_accuracy,std_dev,min_accuracy,max_accuracy
Peeler,19.23076923076923,38.39738238941523,0.0,100.0
Painkiller,14.742564102564103,16.011236399030558,0.0,33.33
Bottle opener,13.007435897435897,13.366954565605973,0.0,36.36
Screwdriver,10.256410256410257,13.673544235706117,0.0,33.333333333333336
Tupperware containers,9.785128205128204,13.444876665369916,0.0,51.51666666666666
Fork,3.8461538461538463,13.86750490563073,0.0,50.0
Spices,2.5641025641025643,9.245003270420485,0.0,33.333333333333336
Candles,1.801794871794872,6.496463798124476,0.0,23.423333333333336
Cereals,0.0,0.0,0.0,0.0
Pot,0.0,0.0,0.0,0.0
Rolling pin,0.0,0.0,0.0,0.0
