group1,group2,meandiff,p-adj,lower,upper,reject
chatgpt,dino_0.95,-6.3745,0.9999,-37.9915,25.2424,False
chatgpt,dino_1,-11.5782,0.9863,-43.1952,20.0388,False
chatgpt,gemini_1.5,-13.1727,0.9636,-44.7897,18.4443,False
chatgpt,gemini_2.5,-5.1045,1.0,-36.7215,26.5124,False
chatgpt,gpt-4o,-12.0609,0.9811,-43.6779,19.5561,False
chatgpt,human_1,6.4545,0.9999,-25.1624,38.0715,False
chatgpt,human_2,-6.0227,1.0,-37.6397,25.5943,False
chatgpt,human_3,8.84,0.9986,-22.777,40.457,False
chatgpt,kosmos-2,-15.4264,0.8959,-47.0434,16.1906,False
chatgpt,llama,2.0273,1.0,-29.5897,33.6443,False
chatgpt,random,-15.0518,0.9105,-46.6688,16.5652,False
dino_0.95,dino_1,-5.2036,1.0,-36.8206,26.4134,False
dino_0.95,gemini_1.5,-6.7982,0.9999,-38.4152,24.8188,False
dino_0.95,gemini_2.5,1.27,1.0,-30.347,32.887,False
dino_0.95,gpt-4o,-5.6864,1.0,-37.3034,25.9306,False
dino_0.95,human_1,12.8291,0.9699,-18.7879,44.4461,False
dino_0.95,human_2,0.3518,1.0,-31.2652,31.9688,False
dino_0.95,human_3,15.2145,0.9043,-16.4024,46.8315,False
dino_0.95,kosmos-2,-9.0518,0.9983,-40.6688,22.5652,False
dino_0.95,llama,8.4018,0.9992,-23.2152,40.0188,False
dino_0.95,random,-8.6773,0.9989,-40.2943,22.9397,False
dino_1,gemini_1.5,-1.5945,1.0,-33.2115,30.0224,False
dino_1,gemini_2.5,6.4736,0.9999,-25.1434,38.0906,False
dino_1,gpt-4o,-0.4827,1.0,-32.0997,31.1343,False
dino_1,human_1,18.0327,0.7561,-13.5843,49.6497,False
dino_1,human_2,5.5555,1.0,-26.0615,37.1724,False
dino_1,human_3,20.4182,0.5865,-11.1988,52.0352,False
dino_1,kosmos-2,-3.8482,1.0,-35.4652,27.7688,False
dino_1,llama,13.6055,0.9542,-18.0115,45.2224,False
dino_1,random,-3.4736,1.0,-35.0906,28.1434,False
gemini_1.5,gemini_2.5,8.0682,0.9994,-23.5488,39.6852,False
gemini_1.5,gpt-4o,1.1118,1.0,-30.5052,32.7288,False
gemini_1.5,human_1,19.6273,0.6451,-11.9897,51.2443,False
gemini_1.5,human_2,7.15,0.9998,-24.467,38.767,False
gemini_1.5,human_3,22.0127,0.4679,-9.6043,53.6297,False
gemini_1.5,kosmos-2,-2.2536,1.0,-33.8706,29.3634,False
gemini_1.5,llama,15.2,0.9049,-16.417,46.817,False
gemini_1.5,random,-1.8791,1.0,-33.4961,29.7379,False
gemini_2.5,gpt-4o,-6.9564,0.9999,-38.5734,24.6606,False
gemini_2.5,human_1,11.5591,0.9865,-20.0579,43.1761,False
gemini_2.5,human_2,-0.9182,1.0,-32.5352,30.6988,False
gemini_2.5,human_3,13.9445,0.9457,-17.6724,45.5615,False
gemini_2.5,kosmos-2,-10.3218,0.9947,-41.9388,21.2952,False
gemini_2.5,llama,7.1318,0.9998,-24.4852,38.7488,False
gemini_2.5,random,-9.9473,0.9961,-41.5643,21.6697,False
gpt-4o,human_1,18.5155,0.7239,-13.1015,50.1324,False
gpt-4o,human_2,6.0382,1.0,-25.5788,37.6552,False
gpt-4o,human_3,20.9009,0.5503,-10.7161,52.5179,False
gpt-4o,kosmos-2,-3.3655,1.0,-34.9824,28.2515,False
gpt-4o,llama,14.0882,0.9418,-17.5288,45.7052,False
gpt-4o,random,-2.9909,1.0,-34.6079,28.6261,False
human_1,human_2,-12.4773,0.9756,-44.0943,19.1397,False
human_1,human_3,2.3855,1.0,-29.2315,34.0024,False
human_1,kosmos-2,-21.8809,0.4775,-53.4979,9.7361,False
human_1,llama,-4.4273,1.0,-36.0443,27.1897,False
human_1,random,-21.5064,0.5052,-53.1234,10.1106,False
human_2,human_3,14.8627,0.9174,-16.7543,46.4797,False
human_2,kosmos-2,-9.4036,0.9976,-41.0206,22.2134,False
human_2,llama,8.05,0.9994,-23.567,39.667,False
human_2,random,-9.0291,0.9984,-40.6461,22.5879,False
human_3,kosmos-2,-24.2664,0.3152,-55.8834,7.3506,False
human_3,llama,-6.8127,0.9999,-38.4297,24.8043,False
human_3,random,-23.8918,0.3386,-55.5088,7.7252,False
kosmos-2,llama,17.4536,0.7924,-14.1634,49.0706,False
kosmos-2,random,0.3745,1.0,-31.2424,31.9915,False
llama,random,-17.0791,0.8144,-48.6961,14.5379,False
